COOPS-ID,SHEF-ID,lon,lat,Bias MLLW (meters),Bias MSL (meters),Bias NAVD88 (feet),Statistical Significance,Total length of record in days
8729840,PCLF1,-87.211111,30.404444,0.368791141593,0.179991141593,0.886344690265,0.836262719704,9.00416666667
9440083,VAPW1,-122.697,45.6317,4.78279227012,4.36479227012,21.7747756894,0.822685185185,8.99583333333
9418767,HBYC1,-124.217,40.7667,1.16107692958,0.0320769295775,3.47400751174,0.788888888889,8.99583333333
8772447,FCGT2,-95.294167,28.935694,0.462555380471,0.168455380471,1.0605701459,0.8246182323,9.0
8729210,PCBF1,-85.8783,30.2133,0.339434776632,0.140434776632,0.55933115693,0.807585568918,9.00416666667
8773037,SDRT2,-96.712444,28.406861,0.249087146547,0.189087146547,1.04841504773,0.824155483572,9.0
8736897,MCGA1,-88.0583,30.6483,0.489764725364,0.240764725364,1.26473965015,0.793246993525,9.00416666667
8726520,SAPF1,-82.6269,27.7606,0.476808463576,0.107108463576,0.0404322295806,0.838112858464,9.00416666667
8726667,MCYF1,-82.425,27.913333,0.584756295775,0.140856295775,0.375691784038,0.788159111933,9.00416666667
8776604,BABT2,-97.404999,27.295,0.0749209889135,0.0749209889135,0.0522037694013,0.834798704304,9.0
9414575,RYAC1,-122.023,37.465,1.57335728,0.07335728,4.53693333333,0.833333333333,8.99583333333
8761305,SHBL1,-89.67325,29.868111,0.386776685714,0.161776685714,1.17015238095,0.834502103787,8.90833333333
9442396,LAPW1,-124.637,47.9133,1.41200274725,-0.0106972527473,3.80305494505,0.842202683943,9.0
